corp_code,corp_name,stock_code,avg_revenue_last_3y,total_assets
00101752,케이씨피드,025880,94671056867.7,103303356062
00103015,고려제약,014570,78120154783.0,88887302484
00103547,우진비앤지,018620,52434331078.0,112869606907
00104120,광진실업,026910,57115484670.0,94252082071
00104537,국영지앤엠,006050,71883716269.3,72940186081
00104573,국일제지,078130,60351796401.3,142417007318
00105040,뉴인텍,012340,77972434241.7,75749063228
00108001,남화토건,091590,73085008142.0,192703998432
00108490,엔피케이,048830,64251504913.3,67946442411
00108649,TPC로보틱스,048770,88967080989.0,113226626118
00109037,대성창투,027830,15369527626.3,100480711010
00110431,JW신약,067290,99986379284.7,63035402938
00110750,플루토스,019570,8056532852.3,47575529262
00110884,엠젠솔루션,032790,57718654030.0,71423793062
00116408,동신건설,025950,67338888880.7,112636041341
00116426,이렘,009730,84408292489.7,130328701520
00117276,네이처셀,007390,24312271121.3,71997508759
00120289,제이에스티나,026040,75892303260.0,50660994202
00120906,에스아이리소스,065420,7432432303.3,14882121796
00122205,졸스,018700,62682520452.3,46388102294
00124276,부스타,008470,99704185533.3,105007314176
00125488,삼륭물산,014970,90203281405.0,98958483256
00125664,삼미금속,012210,74678571754.3,172747485700
00125725,디모아,016670,27873677401.7,94208365335
00126788,삼아제약,009300,91497183768.3,248733842277
00127909,삼일,032280,98918973746.7,108347600270
00127936,삼일기업공사,002290,84970355609.0,86065246337
00129615,상보,027580,62465422703.7,105420391271
00130408,서산,079650,42033309538.0,112243489402
00130587,서울전자통신,027040,40748381271.7,69423552759
00131018,서울제약,018680,52031623542.3,71620145266
00132202,선진뷰티사이언스,086710,72108882215.0,154084421819
00133557,PN풍년,024940,56606036539.7,56816719704
00133751,세명전기,017510,13625939319.0,88459708061
00135999,신라섬유,001000,3958874686.3,30634773233
00136004,신라에스지,025870,82472595164.0,45863612729
00136165,스페코,013810,27086322879.0,86712896526
00137012,에스앤더블류,103230,42259900228.3,71297045144
00137058,신일제약,012790,86194246776.7,165861375460
00137289,이엘씨,041520,60975051482.7,189660528776
00138367,플레이위드,023770,25121688290.0,36981992739
00139685,양지사,030960,55061235666.7,196862945845
00140061,티케이지애강,022220,70868250459.0,109885553298
00140566,한탑,002680,92953430435.7,138897931901
00142713,형지I&C,011080,64189569654.3,64869969332
00143226,엠투엔,033310,65552115495.0,181439960725
00144012,원풍,008370,80961701208.0,98313590517
00144021,원풍물산,008290,28187710822.0,52346111760
00145473,이글벳,044960,42683340923.7,61237139526
00145914,인터엠,017250,56662227198.7,85947980904
00146427,한주에이알티,058450,10115513469.7,37285619002
00148531,제이스코홀딩스,023440,55953336184.0,105895522703
00149770,중앙에너비스,000440,58968555761.0,58475728545
00150536,진양제약,007370,94291663868.7,227573668178
00151605,THE CUBE&,013720,30610774932.7,78829190132
00152589,코리아나,027050,82965025165.3,107779542466
00152783,코메론,049430,75746687336.7,244243219582
00155373,풍강,093380,91257783828.7,91015824632
00155586,HLB이노베이션,024850,25788831418.0,268011066592
00155638,피에스텍,002230,73730578797.7,171501735008
00156910,SBI인베스트먼트,019550,24959398893.3,141750059438
00159731,글로본,019660,18706859454.0,13399891473
00161462,에이티넘인베스트,021080,96167289746.0,216849340833
00166528,서암기계공업,100660,46208730964.3,73861719421
00169215,에너토크,019990,26130688780.7,44686892473
00172079,HLB파나진,046210,13206739570.0,109610604611
00172945,동일스틸럭스,023790,23442011282.0,71562643725
00173449,빌리언스,044480,47120239540.3,48846397616
00175623,ES큐브,050120,51573240195.0,90410906192
00177320,대성미생물,036480,24955438957.3,58379168019
00177870,대창솔루션,096350,61956584201.3,135428546287
00180263,리더스코스메틱,016100,76478423098.7,74742591141
00180865,디에이치엑스컴퍼니,031860,9675383909.0,56156827002
00185222,크린앤사이언스,045520,87718354689.7,82397429489
00186452,광무,029480,36329448840.3,282270869425
00187415,코미팜,041960,47075367474.3,122766615861
00187770,한국파마,032300,81849053369.3,112386950030
00188797,포메탈,119500,68614614289.7,62217989741
00189538,피델릭스,032580,56717797008.7,56680583496
00199076,동일기연,032960,25348201353.3,69371193791
00201131,아즈텍WB,032080,39309634788.7,117975490056
00201432,비츠로시스,054220,18064890184.3,51320541267
00201733,TJ미디어,032540,91393952369.3,124721058447
00202839,한창산업,079170,86963692567.0,86800080449
00203209,에쎈테크,043340,54862105982.7,72055899433
