통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","총자산회전율","회 ","원자료","0.95","0.92","0.90","0.86","0.83","0.85","0.83","0.79","0.73","0.77","0.80","0.73","0.71"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","자기자본회전율","회 ","원자료","2.37","2.24","2.13","1.98","1.86","1.86","1.77","1.70","1.59","1.69","1.77","1.63","1.57"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","자본금회전율","회 ","원자료","8.05","7.80","7.62","7.39","7.22","7.45","7.43","7.33","6.67","7.34","7.97","7.48","7.42"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","경영자산회전율","회 ","원자료","1.19","1.15","1.12","1.08","1.05","1.07","1.05","1.00","0.92","0.98","1.01","0.93","0.91"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","비유동자산회전율","회 ","원자료","1.66","1.58","1.54","1.46","1.42","1.46","1.42","1.35","1.24","1.33","1.39","1.27","1.21"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","유형자산회전율","회 ","원자료","2.84","2.72","2.64","2.53","2.46","2.55","2.50","2.38","2.18","2.38","2.54","2.32","2.23"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","재고자산회전율","회 ","원자료","7.08","7.18","7.24","7.28","7.23","7.40","7.13","6.54","6.06","6.21","6.08","5.52","5.63"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","상(제)품회전율","회 ","원자료","19.75","19.66","20.17","21.07","21.37","21.96","20.88","19.47","18.79","20.21","20.10","18.34","18.69"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","매출채권회전율","회 ","원자료","6.98","7.01","6.94","6.84","6.74","6.92","7.02","7.07","6.99","7.62","7.88","7.29","7.17"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","종합","매입채무회전율","회 ","원자료","11.18","11.50","11.85","12.32","12.23","12.51","12.83","13.03","12.93","13.77","13.80","12.81","13.00"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","총자산회전율","회 ","원자료","","","","","","0.91","0.90","0.88","0.81","0.87","0.91","0.86","0.82"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","자기자본회전율","회 ","원자료","","","","","","1.81","1.77","1.70","1.56","1.72","1.76","1.65","1.55"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","자본금회전율","회 ","원자료","","","","","","11.60","11.41","11.43","11.18","12.31","13.80","14.05","14.14"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","경영자산회전율","회 ","원자료","","","","","","1.16","1.17","1.14","1.06","1.15","1.21","1.14","1.09"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","비유동자산회전율","회 ","원자료","","","","","","1.59","1.58","1.51","1.36","1.50","1.60","1.52","1.42"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","유형자산회전율","회 ","원자료","","","","","","2.99","3.11","2.95","2.70","3.00","3.28","3.13","2.95"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","재고자산회전율","회 ","원자료","","","","","","8.63","8.56","8.64","8.17","8.30","8.36","7.88","8.03"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","상(제)품회전율","회 ","원자료","","","","","","20.92","21.02","19.84","19.64","20.96","20.72","19.23","19.16"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","매출채권회전율","회 ","원자료","","","","","","6.44","6.48","6.56","6.55","7.22","7.41","6.79","6.58"
"5.1.4.1. 자산/자본 회전율(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","매입채무회전율","회 ","원자료","","","","","","10.34","10.88","11.16","11.03","11.91","12.16","11.16","11.31"
