통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","자기자본비율","%","원자료","40.39","41.50","42.64","43.79","45.22","46.71","47.37","46.37","45.80","45.39","44.98","45.29","45.49"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","유동비율","%","원자료","123.82","127.01","129.57","130.47","131.59","134.02","138.45","140.38","141.04","143.04","139.06","133.60","130.69"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","당좌비율","%","원자료","85.28","88.61","91.85","93.59","95.30","96.71","98.58","98.91","99.36","99.77","94.85","91.24","90.76"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","현금비율","%","원자료","14.20","15.17","15.38","17.79","18.93","19.76","19.92","21.01","23.89","25.00","22.12","21.25","20.49"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","비유동비율","%","원자료","143.30","140.63","137.08","134.52","129.48","125.06","123.64","127.21","128.74","126.77","127.59","129.48","130.82"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","비유동장기적합률","%","원자료","87.72","86.83","86.04","85.99","85.47","84.70","83.58","83.34","83.16","81.83","82.74","84.93","86.22"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","부채비율","%","원자료","147.60","140.98","134.53","128.36","121.15","114.07","111.12","115.64","118.34","120.31","122.33","120.79","119.85"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","유동부채비율","%","원자료","84.23","79.01","75.21","71.92","69.66","66.41","63.19","63.00","63.52","65.39","68.13","68.34","68.12"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","비유동부채비율","%","원자료","63.37","61.97","59.32","56.44","51.49","47.66","47.93","52.65","54.81","54.91","54.20","52.44","51.73"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","차입금의존도","%","원자료","31.92","31.49","32.21","31.35","29.80","28.84","28.82","29.48","30.35","30.23","31.28","31.40","31.03"
