통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","총자산증가율","%","원자료","5.07","4.59","4.29","5.50","6.29","7.59","5.83","6.09","7.94","12.66","9.66","6.34","7.01"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","유형자산증가율","%","원자료","6.45","5.55","4.14","6.50","4.42","6.64","5.42","6.78","6.22","7.28","8.68","7.62","9.48"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","유동자산증가율","%","원자료","2.22","4.19","3.67","4.74","7.34","7.68","5.86","4.20","8.65","17.14","10.44","3.11","5.12"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","재고자산증가율","%","원자료","0.26","1.21","-0.38","2.09","4.87","8.63","10.77","5.58","9.41","20.67","16.59","3.21","1.70"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","자기자본증가율","%","원자료","7.02","6.76","7.10","7.72","9.11","11.47","7.34","4.23","6.74","11.35","8.44","7.09","6.93"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","종합","매출액증가율","%","원자료","5.11","2.07","1.26","0.26","2.57","9.19","3.99","0.44","-1.05","17.02","15.07","-1.52","3.65"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","총자산증가율","%","원자료","","","","","","5.33","3.96","3.98","4.38","12.30","7.14","5.28","6.30"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","유형자산증가율","%","원자료","","","","","","0.83","2.02","5.40","2.02","5.11","4.69","6.42","8.26"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","유동자산증가율","%","원자료","","","","","","4.71","2.02","0.75","2.34","17.89","8.84","2.77","4.18"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","재고자산증가율","%","원자료","","","","","","0.30","4.75","-0.06","0.32","17.18","10.56","-1.99","1.78"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","자기자본증가율","%","원자료","","","","","","9.84","6.79","3.20","5.26","13.63","9.82","6.95","6.18"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","대기업_중견","매출액증가율","%","원자료","","","","","","6.80","1.35","-1.35","-3.45","15.40","14.60","-1.55","1.25"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","총자산증가율","%","원자료","6.56","6.69","6.41","11.51","11.82","11.53","10.85","10.17","12.57","17.66","12.57","7.83","8.32"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","유형자산증가율","%","원자료","8.72","8.13","6.61","10.69","9.84","10.44","10.16","10.19","12.93","14.67","13.62","10.82","11.19"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","유동자산증가율","%","원자료","4.44","5.93","6.13","11.28","13.36","12.49","11.00","10.03","12.57","20.34","12.20","5.49","5.86"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","재고자산증가율","%","원자료","3.36","2.04","4.55","12.95","15.00","18.00","16.33","12.62","14.68","26.88","15.97","3.81","5.92"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","자기자본증가율","%","원자료","10.50","13.17","12.11","16.32","14.40","19.06","13.01","9.71","10.97","16.36","12.40","9.09","9.49"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","매출액증가율","%","원자료","5.33","6.00","4.67","7.55","8.59","11.02","5.89","4.21","3.87","17.56","14.39","2.82","4.07"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","총자산증가율","%","원자료","","","","","","6.59","6.06","4.58","5.82","11.22","7.42","6.07","6.92"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","유형자산증가율","%","원자료","","","","","","6.58","6.40","6.35","7.53","8.83","9.56","9.26","10.38"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","유동자산증가율","%","원자료","","","","","","5.99","4.22","2.13","3.74","11.90","5.86","2.93","3.43"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","재고자산증가율","%","원자료","","","","","","2.38","0.48","-4.92","-4.70","6.43","1.31","-2.96","-0.63"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","자기자본증가율","%","원자료","","","","","","11.60","10.38","7.70","8.86","15.21","10.95","9.45","8.52"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","매출액증가율","%","원자료","","","","","","7.25","2.02","-0.14","-1.01","14.47","11.22","-0.95","1.03"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","총자산증가율","%","원자료","","","","","","16.34","15.48","15.68","18.86","23.05","16.76","9.25","9.46"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","유형자산증가율","%","원자료","","","","","","13.97","13.58","13.66","17.64","19.30","16.69","11.98","11.81"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","유동자산증가율","%","원자료","","","","","","18.87","17.61","17.97","20.80","27.26","17.28","7.50","7.79"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","재고자산증가율","%","원자료","","","","","","34.29","32.44","30.04","31.88","42.37","26.19","8.16","10.04"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","자기자본증가율","%","원자료","","","","","","29.01","16.23","12.19","13.49","17.64","14.01","8.68","10.62"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","매출액증가율","%","원자료","","","","","","16.46","11.56","10.99","11.31","21.85","19.02","8.58","8.79"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","총자산증가율","%","원자료","19.54","8.79","10.44","18.62","11.27","14.00","12.10","9.17","8.33","12.89","9.01","4.74","4.87"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","유형자산증가율","%","원자료","22.02","8.55","12.40","20.87","8.81","13.78","13.62","9.72","7.68","12.05","8.31","5.13","4.11"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","유동자산증가율","%","원자료","16.35","10.07","7.57","13.00","13.88","13.88","7.33","9.27","9.55","15.89","9.37","4.29","5.79"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","재고자산증가율","%","원자료","33.18","14.30","-0.74","7.47","7.73","4.23","13.57","13.88","10.35","12.13","14.38","3.30","2.44"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","자기자본증가율","%","원자료","5.42","0.48","14.21","23.62","15.69","16.32","8.93","1.14","3.46","14.13","8.97","1.30","3.34"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","매출액증가율","%","원자료","10.23","14.20","7.96","14.65","5.96","10.27","2.48","4.99","11.03","17.64","12.31","4.53","5.38"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","총자산증가율","%","원자료","","","","","","20.01","9.88","7.29","4.25","-2.28","6.32","-0.96","5.92"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","유형자산증가율","%","원자료","","","","","","19.48","10.69","5.26","-6.94","-3.66","8.53","3.12","11.35"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","유동자산증가율","%","원자료","","","","","","27.04","1.82","9.11","24.39","-0.40","13.94","-2.02","-0.21"
