corp_code,corp_name,stock_code,year,avg_revenue_last_3y,total_assets,revenue,operating_income,net_income,total_assets_statement,total_liabilities,total_equity,created_at
00101752,케이씨피드,025880,2022,94671056867.7,103303356062,88477418720.0,4867543602.0,4223897638.0,97228717134.0,36235746966.0,60992970168.0,2026-05-26
00101752,케이씨피드,025880,2023,94671056867.7,103303356062,92576838916.0,6049004344.0,6709822680.0,98666405017.0,32449685394.0,66216719623.0,2026-05-26
00101752,케이씨피드,025880,2024,94671056867.7,103303356062,102958912967.0,8096615873.0,7008925175.0,103303356062.0,31333125574.0,71970230488.0,2026-05-26
00103015,고려제약,014570,2022,78120154783.0,88887302484,79984056441.0,14329019414.0,11808841484.0,94516358200.0,9803724937.0,84712633263.0,2026-05-26
00103015,고려제약,014570,2023,78120154783.0,88887302484,81374983430.0,18025892026.0,-4916772792.0,89709047805.0,12618965065.0,77090082740.0,2026-05-26
00103015,고려제약,014570,2024,78120154783.0,88887302484,73001424478.0,9138456105.0,2995105179.0,88887302484.0,10781299945.0,78106002539.0,2026-05-26
00103547,우진비앤지,018620,2022,52434331078.0,112869606907,43703465297.0,1155423595.0,1012603381.0,91522476440.0,26956028883.0,64566447557.0,2026-05-26
00103547,우진비앤지,018620,2023,52434331078.0,112869606907,57919354665.0,713664789.0,-1186831624.0,121582580795.0,49252200877.0,72330379918.0,2026-05-26
00103547,우진비앤지,018620,2024,52434331078.0,112869606907,55680173272.0,295201914.0,-3829872805.0,112869606907.0,43454448377.0,69415158530.0,2026-05-26
00104120,광진실업,026910,2022,57115484670.0,94252082071,59139993833.0,585221907.0,1145921388.0,76280928822.0,48819081233.0,27461847589.0,2026-05-26
00104120,광진실업,026910,2023,57115484670.0,94252082071,53679071672.0,-7043841565.0,-5139724500.0,94658541157.0,72708166628.0,21950374529.0,2026-05-26
00104120,광진실업,026910,2024,57115484670.0,94252082071,58527388505.0,-7323446508.0,2944099146.0,94252082071.0,69475707631.0,24776374440.0,2026-05-26
00104537,국영지앤엠,006050,2022,71883716269.3,72940186081,63599420068.0,2121316409.0,1857625862.0,66153338523.0,18143584893.0,48009753630.0,2026-05-26
00104537,국영지앤엠,006050,2023,71883716269.3,72940186081,76640521220.0,942168843.0,778346165.0,72212642366.0,23424542571.0,48788099795.0,2026-05-26
